shift: 0, correlation: 0.5446
shift: 1, correlation: 0.6277
shift: 2, correlation: 0.5212
shift: 3, correlation: 0.4932
shift: 4, correlation: 0.5353
shift: 5, correlation: 0.5293
shift: 6, correlation: 0.5324
shift: 7, correlation: 0.6016
shift: 8, correlation: 0.5353
shift: 9, correlation: 0.5683
shift: 10, correlation: 0.5212
shift: 11, correlation: 0.5097
shift: 12, correlation: 0.5446
shift: 13, correlation: 0.6693
shift: 14, correlation: 0.6277
shift: 15, correlation: 0.6069
shift: 16, correlation: 0.4932
shift: 17, correlation: 0.6685
shift: 18, correlation: 0.5293
shift: 19, correlation: 0.6488
shift: 20, correlation: 0.6016
shift: 21, correlation: 0.6685
shift: 22, correlation: 0.5683
shift: 23, correlation: 0.6069
shift: 24, correlation: 0.5097
shift: 25, correlation: 0.6693
